step,loss_s,loss_l,cos_sim
1,0.050920,0.052186,-0.310024
1000,0.047853,0.047853,0.999867
2000,0.047853,0.047853,0.999766
3000,0.046078,0.047853,0.776156
4000,0.046209,0.047852,0.769176
5000,0.046123,0.046532,0.827539
6000,0.044073,0.046738,0.838369
7000,0.043271,0.046528,0.761256
8000,0.042633,0.046522,0.768182
9000,0.042936,0.046468,0.778871
10000,0.042571,0.046058,0.862969
11000,0.042650,0.046845,0.869822
12000,0.043546,0.046673,0.866050
13000,0.042263,0.045773,0.864425
14000,0.043229,0.046181,0.842137
15000,0.041866,0.046503,0.832613
16000,0.042535,0.046271,0.821659
17000,0.041833,0.045713,0.825961
18000,0.041937,0.045887,0.807076
19000,0.043988,0.046266,0.793654
20000,0.041166,0.046192,0.810348
21000,0.041120,0.046620,0.804135
22000,0.042090,0.046255,0.775611
23000,0.039280,0.045857,0.788758
24000,0.039882,0.046271,0.794923
25000,0.039583,0.045893,0.776442
26000,0.039064,0.045889,0.782448
27000,0.037209,0.045630,0.784570
28000,0.038611,0.045233,0.807739
29000,0.038369,0.046138,0.779303
30000,0.038588,0.045468,0.785915
31000,0.041351,0.045464,0.767208
32000,0.036975,0.045189,0.761808
33000,0.038355,0.045549,0.727537
34000,0.035106,0.046278,0.723750
35000,0.035210,0.045927,0.718791
36000,0.034454,0.045460,0.739671
37000,0.038874,0.045751,0.733527
38000,0.043926,0.045698,0.738180
39000,0.035223,0.046579,0.750565
40000,0.034564,0.045806,0.746052
41000,0.034133,0.044935,0.741371
42000,0.033689,0.044804,0.741787
43000,0.033179,0.044468,0.735050
44000,0.032273,0.045715,0.766307
45000,0.033433,0.045643,0.749738
46000,0.034167,0.044896,0.752822
47000,0.031849,0.046039,0.734010
48000,0.034578,0.045376,0.745589
49000,0.038472,0.045386,0.749207
50000,0.035430,0.045978,0.709432
0.7424638271331787
