step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.053155,0.052292,-0.268275,0.059915,0.139684,0.166504
1000,0.047853,0.047853,-0.181807,0.119001,0.224395,0.224368
2000,0.047853,0.047853,-0.186521,0.119067,0.223562,0.224433
3000,0.047852,0.047853,-0.189283,0.119779,0.224735,0.224076
4000,0.046078,0.047853,-0.200591,0.170931,0.302968,0.224363
5000,0.045658,0.047853,-0.199212,0.170445,0.304425,0.224578
6000,0.044208,0.047853,-0.214078,0.224312,0.363916,0.224301
7000,0.043577,0.047852,-0.216541,0.249530,0.394339,0.224521
8000,0.043182,0.047853,-0.231288,0.245091,0.387532,0.224315
9000,0.043528,0.047852,-0.218614,0.248030,0.389704,0.224277
10000,0.043752,0.047852,-0.216445,0.260424,0.403876,0.224248
11000,0.042601,0.047852,-0.238465,0.244598,0.384737,0.224456
12000,0.043147,0.047852,-0.235296,0.248103,0.387789,0.224449
13000,0.042216,0.047852,-0.227114,0.255356,0.395488,0.224400
14000,0.043226,0.046488,-0.228893,0.295628,0.402779,0.271193
15000,0.042078,0.046690,-0.227170,0.309566,0.417274,0.276683
16000,0.042005,0.046446,-0.200009,0.333082,0.437036,0.284956
17000,0.042089,0.047025,-0.194680,0.334869,0.443013,0.281498
18000,0.041933,0.046714,-0.192032,0.342853,0.449186,0.283399
19000,0.041143,0.046742,-0.190676,0.325438,0.437475,0.276457
20000,0.042178,0.046749,-0.164699,0.335442,0.445480,0.286034
21000,0.042388,0.046770,-0.159176,0.329903,0.446966,0.273915
22000,0.041318,0.046968,-0.165365,0.346829,0.458625,0.282247
23000,0.039839,0.046928,-0.142212,0.348486,0.465194,0.279289
24000,0.041482,0.046422,-0.147168,0.341068,0.459502,0.280676
25000,0.041130,0.047117,-0.165901,0.394019,0.492712,0.286815
26000,0.038745,0.046957,-0.139846,0.365007,0.483681,0.275028
27000,0.042111,0.046691,-0.129492,0.378720,0.491350,0.282611
28000,0.037891,0.046357,-0.133776,0.434807,0.520879,0.287993
29000,0.039452,0.046718,-0.136126,0.405057,0.513786,0.275708
30000,0.037267,0.046237,-0.115720,0.426898,0.518885,0.283432
31000,0.034073,0.046828,-0.082735,0.437206,0.532454,0.294823
32000,0.035643,0.046038,-0.053046,0.433993,0.527719,0.303699
33000,0.037481,0.046287,-0.067088,0.430435,0.524999,0.300559
34000,0.034163,0.045518,-0.063389,0.431461,0.527587,0.308601
35000,0.034417,0.045652,-0.061604,0.483048,0.556734,0.312186
36000,0.038026,0.046536,-0.063454,0.461760,0.542196,0.309324
37000,0.036737,0.045682,-0.080069,0.453735,0.534766,0.310855
38000,0.033034,0.045798,-0.084406,0.469020,0.551356,0.304481
39000,0.037175,0.046991,-0.085423,0.485526,0.560784,0.306816
40000,0.032588,0.045920,-0.103608,0.473521,0.546765,0.309993
41000,0.031185,0.045102,-0.072787,0.499634,0.566591,0.313565
42000,0.032144,0.045990,-0.080159,0.477276,0.557687,0.302105
43000,0.035868,0.045760,-0.093630,0.528394,0.583781,0.313146
44000,0.033781,0.045712,-0.072302,0.516930,0.581983,0.317105
45000,0.034212,0.045325,-0.084455,0.529009,0.586214,0.308273
46000,0.034486,0.045500,-0.081322,0.527754,0.574994,0.324319
47000,0.032827,0.045728,-0.071388,0.511806,0.585797,0.309844
48000,0.034264,0.045877,-0.089355,0.578363,0.604390,0.341868
49000,0.033377,0.046514,-0.072755,0.537478,0.585690,0.332875
50000,0.032729,0.045955,-0.084061,0.524197,0.576238,0.323687
-0.07276010513305664
