step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.053830,0.051850,-0.190923,0.063489,0.150197,0.175435
1000,0.047853,0.047853,0.999984,0.000002,0.224442,0.223857
2000,0.047853,0.047853,0.999984,0.000002,0.224375,0.224433
3000,0.047853,0.047853,0.999979,0.000002,0.224170,0.224501
4000,0.045842,0.047289,0.966263,0.007266,0.301116,0.268200
5000,0.045616,0.046520,0.991800,0.001787,0.298255,0.277784
6000,0.044766,0.046341,0.972809,0.010761,0.341704,0.296710
7000,0.044213,0.046425,0.965263,0.012677,0.341712,0.298956
8000,0.043385,0.047136,0.913462,0.027595,0.362277,0.294093
9000,0.043010,0.047924,0.939862,0.023158,0.378439,0.308615
10000,0.043359,0.047543,0.932658,0.028090,0.397094,0.312466
11000,0.043137,0.047647,0.945302,0.021617,0.380319,0.309282
12000,0.043720,0.046842,0.943523,0.024737,0.393213,0.319186
13000,0.042605,0.046989,0.945580,0.022022,0.384727,0.317689
14000,0.043102,0.046303,0.948607,0.021506,0.387216,0.317352
15000,0.043381,0.046684,0.939231,0.024382,0.387052,0.314903
16000,0.042863,0.047321,0.945702,0.022366,0.389378,0.317553
17000,0.042905,0.046717,0.946337,0.022599,0.393033,0.320483
18000,0.042493,0.046614,0.917516,0.035191,0.412721,0.323079
19000,0.042061,0.046981,0.912301,0.035165,0.410634,0.320695
20000,0.042155,0.045820,0.915897,0.034936,0.412474,0.319333
21000,0.043269,0.046370,0.919143,0.032796,0.412347,0.323548
22000,0.042753,0.046827,0.924914,0.034457,0.415925,0.324298
23000,0.041532,0.045838,0.923368,0.037565,0.430340,0.335477
24000,0.041561,0.045459,0.913358,0.045308,0.450805,0.347111
25000,0.040324,0.045230,0.907973,0.049799,0.439791,0.330709
26000,0.040853,0.045670,0.911071,0.052885,0.446731,0.334503
27000,0.039837,0.046557,0.898609,0.060264,0.461346,0.344230
28000,0.040457,0.045872,0.901901,0.055495,0.447199,0.330480
29000,0.040064,0.046392,0.910930,0.052552,0.444148,0.331208
30000,0.039017,0.045649,0.914094,0.049588,0.441729,0.339325
31000,0.038959,0.045059,0.904732,0.061751,0.464314,0.346064
32000,0.038786,0.046787,0.899707,0.067560,0.472630,0.344630
33000,0.038634,0.046703,0.911190,0.063362,0.462835,0.342763
34000,0.040251,0.045629,0.903807,0.067691,0.472783,0.345960
35000,0.037504,0.046156,0.909259,0.068373,0.475000,0.345684
36000,0.036829,0.046078,0.904656,0.072033,0.484411,0.354628
37000,0.038164,0.045267,0.886904,0.080674,0.481174,0.341859
38000,0.036802,0.045393,0.898342,0.072686,0.474868,0.349072
39000,0.036699,0.045871,0.877127,0.087288,0.497065,0.349412
40000,0.037025,0.044655,0.887235,0.096902,0.512780,0.357828
41000,0.037056,0.045558,0.887081,0.086369,0.496075,0.353295
42000,0.035947,0.045628,0.872960,0.097868,0.511681,0.356034
43000,0.038201,0.045957,0.872227,0.100699,0.518161,0.354838
44000,0.036762,0.046209,0.885696,0.094304,0.508785,0.359416
45000,0.037238,0.044911,0.891133,0.086768,0.509825,0.365163
46000,0.036954,0.045248,0.856679,0.111572,0.516047,0.342876
47000,0.036375,0.045362,0.885974,0.085146,0.498571,0.350613
48000,0.036288,0.044441,0.898545,0.086220,0.508968,0.368519
49000,0.035046,0.045415,0.887565,0.091670,0.514676,0.361653
50000,0.035001,0.045527,0.893188,0.086442,0.507933,0.359280
51000,0.034819,0.045755,0.894119,0.089604,0.517292,0.366721
52000,0.035239,0.044296,0.883916,0.086684,0.499994,0.355595
53000,0.037291,0.045275,0.887321,0.091834,0.512765,0.362217
54000,0.036120,0.044176,0.898465,0.085344,0.512189,0.367617
55000,0.036239,0.046639,0.892889,0.088000,0.512817,0.359384
56000,0.036676,0.046181,0.891832,0.090401,0.512802,0.367902
57000,0.034290,0.044884,0.892603,0.087474,0.505484,0.362377
58000,0.035817,0.045464,0.889196,0.093166,0.526211,0.369717
59000,0.037095,0.045786,0.889732,0.092596,0.513692,0.361199
60000,0.034640,0.046103,0.888121,0.095023,0.512071,0.363286
61000,0.036401,0.044889,0.886294,0.089929,0.505979,0.359658
62000,0.035873,0.045840,0.893028,0.084394,0.508403,0.359857
63000,0.034812,0.045136,0.883247,0.102123,0.534300,0.365625
64000,0.034931,0.045481,0.880165,0.097704,0.521245,0.366892
65000,0.036951,0.044975,0.895563,0.095781,0.524990,0.370554
66000,0.035823,0.044890,0.900593,0.083228,0.501414,0.359043
67000,0.035361,0.045180,0.896165,0.084008,0.495019,0.350578
68000,0.035616,0.044895,0.899608,0.078013,0.491254,0.356748
69000,0.035702,0.045451,0.878248,0.107318,0.525779,0.367388
70000,0.036816,0.046053,0.853801,0.129328,0.547269,0.364166
71000,0.033183,0.046104,0.873448,0.111908,0.530248,0.364165
72000,0.033774,0.046078,0.868959,0.118036,0.520791,0.356294
73000,0.033069,0.045116,0.888186,0.106453,0.507748,0.357361
74000,0.035578,0.046391,0.885627,0.099166,0.504938,0.354953
75000,0.036851,0.045770,0.888015,0.102661,0.511739,0.359750
76000,0.033921,0.045081,0.880752,0.109070,0.515086,0.358504
77000,0.034978,0.046518,0.869829,0.114732,0.521878,0.357663
78000,0.036002,0.045644,0.865869,0.117927,0.532498,0.363054
79000,0.035142,0.045263,0.876993,0.103693,0.509787,0.358481
80000,0.033866,0.045838,0.869708,0.116864,0.530750,0.360719
81000,0.033844,0.044932,0.871441,0.116395,0.521535,0.356204
82000,0.033780,0.045927,0.865773,0.123063,0.524994,0.352546
83000,0.033916,0.045319,0.845930,0.150373,0.574783,0.380854
84000,0.033952,0.045312,0.881791,0.099765,0.508049,0.358904
85000,0.034844,0.045185,0.871951,0.125781,0.537185,0.364179
86000,0.034129,0.044807,0.865040,0.116381,0.519658,0.349969
87000,0.034767,0.045057,0.875055,0.114786,0.527871,0.361537
88000,0.020271,0.045454,0.890129,0.091001,0.491472,0.349248
89000,0.017375,0.044402,0.850644,0.147598,0.563147,0.370146
90000,0.035355,0.046567,0.860883,0.130321,0.540438,0.363573
91000,0.034967,0.045686,0.860379,0.140435,0.546837,0.364431
92000,0.033548,0.045450,0.862672,0.135192,0.540844,0.363239
93000,0.031515,0.046114,0.857867,0.144374,0.553633,0.367287
94000,0.032494,0.046079,0.850493,0.141960,0.552016,0.368229
95000,0.030791,0.044806,0.859285,0.132967,0.541876,0.368112
96000,0.031071,0.046945,0.851313,0.135083,0.542398,0.361923
97000,0.033310,0.045298,0.851561,0.138623,0.539389,0.355599
98000,0.010442,0.023561,0.857626,0.137559,0.542214,0.361019
99000,0.034351,0.045714,0.869119,0.118953,0.528728,0.364412
100000,0.033923,0.038080,0.850577,0.141753,0.551332,0.364848
101000,0.033626,0.046335,0.847149,0.144814,0.558095,0.368331
102000,0.032569,0.046305,0.847992,0.152914,0.568684,0.371231
103000,0.020857,0.045054,0.850160,0.143295,0.560317,0.370825
104000,0.018732,0.044274,0.848721,0.132413,0.535488,0.352797
105000,0.033982,0.045102,0.860841,0.119988,0.522178,0.354925
106000,0.033101,0.044864,0.841545,0.140475,0.546306,0.357627
107000,0.032539,0.045711,0.821951,0.177711,0.585277,0.367605
108000,0.034038,0.046633,0.820781,0.161511,0.567789,0.360172
109000,0.032027,0.046548,0.840121,0.147859,0.548401,0.360287
110000,0.031306,0.044806,0.837729,0.154729,0.556187,0.359243
111000,0.032313,0.044150,0.825887,0.169831,0.570174,0.357019
112000,0.033213,0.046621,0.825697,0.154722,0.550290,0.354101
113000,0.032264,0.045286,0.840012,0.143932,0.538282,0.350063
114000,0.034061,0.045433,0.819284,0.186661,0.586113,0.361642
115000,0.037078,0.025904,0.817788,0.169332,0.571951,0.356384
116000,0.017749,0.045259,0.831280,0.157735,0.556891,0.359613
117000,0.014780,0.045748,0.829902,0.164413,0.554649,0.350723
118000,0.034693,0.025709,0.816258,0.183159,0.576474,0.350209
119000,0.033094,0.044900,0.842376,0.151576,0.550337,0.360158
120000,0.087851,0.045356,0.837699,0.161210,0.569065,0.362389
121000,0.019951,0.045418,0.831234,0.154370,0.554991,0.354136
122000,0.031842,0.044991,0.826065,0.171843,0.574973,0.364035
123000,0.031323,0.028311,0.842207,0.163185,0.562987,0.362804
124000,0.017194,0.046484,0.851748,0.142313,0.541174,0.358224
125000,0.033623,0.029530,0.840457,0.153249,0.559274,0.364238
126000,0.031076,0.045121,0.838398,0.155737,0.557027,0.362406
127000,0.033149,0.044779,0.838735,0.153298,0.559612,0.361100
128000,0.032414,0.045578,0.847434,0.141379,0.533283,0.357531
129000,0.030163,0.046073,0.849819,0.147319,0.551751,0.365281
130000,0.017019,0.044971,0.844107,0.150475,0.557679,0.366801
131000,0.017202,0.045747,0.836242,0.148731,0.548154,0.353629
132000,0.031469,0.045024,0.833375,0.158060,0.565191,0.365457
133000,0.033021,0.046194,0.850928,0.133623,0.538984,0.362250
134000,0.016107,0.045135,0.846469,0.151386,0.556076,0.365623
135000,0.031614,0.044622,0.842686,0.157910,0.563604,0.365976
136000,0.010745,0.046047,0.847608,0.142026,0.550058,0.360307
137000,0.020143,0.044253,0.835379,0.151171,0.551981,0.363832
138000,0.018118,0.045944,0.820598,0.182204,0.585304,0.372403
139000,0.020221,0.046920,0.836823,0.167118,0.569416,0.365336
140000,0.032369,0.155790,0.835704,0.163384,0.566179,0.364436
141000,0.017388,0.022355,0.844939,0.155946,0.557260,0.361619
142000,0.030102,0.046875,0.835342,0.163845,0.564956,0.360987
143000,0.009183,0.044620,0.826087,0.168803,0.571980,0.361315
144000,0.010486,0.045381,0.840117,0.156476,0.556436,0.366238
145000,0.014867,0.046621,0.828248,0.174462,0.572230,0.357510
146000,0.019022,0.045925,0.835233,0.160965,0.568496,0.365301
147000,0.031097,0.044703,0.828768,0.177420,0.586007,0.374565
148000,0.068077,0.045868,0.859051,0.145024,0.542534,0.359007
149000,0.027220,0.044911,0.836532,0.154356,0.565466,0.363433
