step,loss_s,loss_l,cos_sim
1,0.245829,0.243795,0.187650
1000,0.216757,0.239126,0.647187
2000,0.212832,0.239111,0.712858
3000,0.212241,0.239574,0.749416
4000,0.214226,0.237889,0.763440
5000,0.232182,0.239209,0.748300
6000,0.208453,0.237673,0.754769
7000,0.222222,0.239069,0.754170
8000,0.215105,0.238507,0.759614
9000,0.231792,0.239298,0.757142
10000,0.217428,0.239419,0.767475
11000,0.198579,0.237749,0.754271
12000,0.208397,0.238442,0.750043
13000,0.193630,0.239009,0.764149
14000,0.206042,0.238689,0.764048
15000,0.213555,0.238389,0.751079
16000,0.204102,0.238552,0.745960
17000,0.213559,0.239740,0.754555
18000,0.185932,0.238817,0.747605
19000,0.236420,0.239069,0.742295
20000,0.201669,0.239142,0.750063
21000,0.191470,0.238305,0.765759
22000,0.226122,0.239934,0.759061
23000,0.176807,0.239514,0.752118
24000,0.196983,0.237919,0.739662
25000,0.180267,0.238425,0.762934
26000,0.174232,0.238583,0.762711
27000,0.173181,0.237701,0.757853
28000,0.186445,0.239021,0.759167
29000,0.182930,0.240771,0.755596
30000,0.211767,0.238833,0.756744
31000,0.188673,0.237702,0.757462
32000,0.172988,0.239184,0.758124
33000,0.163434,0.238626,0.750759
34000,0.159806,0.239131,0.757496
35000,0.185355,0.238642,0.774141
36000,0.203533,0.238651,0.754556
37000,0.195897,0.239419,0.759963
38000,0.192067,0.239333,0.752915
39000,0.171250,0.238855,0.742573
40000,0.184887,0.239180,0.749493
41000,0.208163,0.239360,0.762467
42000,0.187585,0.238168,0.762406
43000,0.188553,0.237953,0.767602
44000,0.165221,0.238703,0.721104
45000,0.151977,0.240092,0.742442
46000,0.178412,0.237911,0.740503
47000,0.181728,0.237919,0.712408
48000,0.104250,0.126914,0.703382
49000,0.165405,0.236301,0.725384
50000,0.215050,0.239111,0.692171
0.6978863477706909
