step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.245108,0.244346,-0.151389,0.096530,0.199375,0.209600
1000,0.216536,0.238067,0.813876,0.076440,0.388618,0.246316
2000,0.205500,0.239343,0.810809,0.103854,0.409836,0.250807
3000,0.215982,0.238922,0.788223,0.147085,0.437698,0.253955
4000,0.211961,0.237725,0.807797,0.102140,0.402521,0.247418
5000,0.202838,0.238558,0.791839,0.125007,0.431099,0.251858
6000,0.218275,0.238317,0.793593,0.127048,0.425951,0.249064
7000,0.202657,0.237721,0.793851,0.146089,0.427344,0.250292
8000,0.208351,0.239343,0.797097,0.118947,0.424677,0.249978
9000,0.211382,0.238498,0.808968,0.128647,0.417459,0.249956
10000,0.221716,0.240559,0.799341,0.153081,0.442586,0.256558
11000,0.206089,0.239328,0.795375,0.147801,0.442051,0.255704
12000,0.204441,0.238136,0.789179,0.144418,0.437605,0.250784
13000,0.213639,0.237958,0.799444,0.144604,0.442874,0.255999
14000,0.208184,0.238939,0.789803,0.200659,0.462353,0.258117
15000,0.217667,0.239032,0.789804,0.186788,0.465061,0.254623
16000,0.200428,0.240173,0.793305,0.158062,0.444877,0.254725
17000,0.188179,0.237411,0.805564,0.153997,0.435233,0.255922
18000,0.217528,0.239226,0.791549,0.189383,0.448243,0.252735
19000,0.189390,0.238333,0.797502,0.200181,0.438585,0.250106
20000,0.172384,0.239019,0.786591,0.190694,0.452470,0.254451
21000,0.188709,0.238228,0.793404,0.180658,0.453520,0.255015
22000,0.177798,0.240212,0.784000,0.213561,0.461491,0.252597
23000,0.190743,0.238226,0.792463,0.219443,0.463034,0.254003
24000,0.191934,0.239618,0.785438,0.170803,0.445394,0.251544
25000,0.194729,0.237940,0.783407,0.276063,0.474491,0.249461
26000,0.196871,0.239785,0.783379,0.239529,0.477561,0.255710
27000,0.186950,0.239098,0.800836,0.199507,0.437184,0.253757
28000,0.178228,0.238729,0.782472,0.247356,0.462548,0.251673
29000,0.172217,0.239189,0.787446,0.210152,0.460014,0.253151
30000,0.186457,0.238968,0.803083,0.221917,0.470811,0.264177
31000,0.202008,0.240268,0.785090,0.233027,0.470932,0.255381
32000,0.178329,0.238969,0.802913,0.147459,0.424000,0.253384
33000,0.189538,0.238050,0.792514,0.170153,0.444704,0.254036
34000,0.197531,0.238788,0.790494,0.197161,0.442178,0.252151
35000,0.180074,0.237745,0.801969,0.153929,0.441283,0.258335
36000,0.177343,0.237055,0.769228,0.391958,0.524846,0.259573
37000,0.205240,0.238560,0.802337,0.193046,0.450350,0.259274
38000,0.173897,0.237965,0.811536,0.115899,0.415795,0.253269
39000,0.183614,0.237949,0.788399,0.184480,0.448874,0.255556
40000,0.158330,0.238562,0.797485,0.189224,0.438695,0.252756
41000,0.177969,0.238676,0.782699,0.194052,0.450138,0.256884
42000,0.179769,0.239439,0.773721,0.143669,0.440638,0.253717
43000,0.183106,0.239452,0.781245,0.176990,0.438688,0.253682
44000,0.183014,0.238362,0.795711,0.200844,0.447875,0.257571
45000,0.189526,0.238863,0.781945,0.172355,0.442416,0.256399
46000,0.170142,0.238337,0.775398,0.256566,0.470937,0.253682
47000,0.096537,0.239901,0.787176,0.243538,0.466954,0.256330
48000,0.165896,0.238645,0.790155,0.198266,0.443139,0.255540
