step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,2.956255,2.952328,0.075310,0.050767,0.162355,0.168936
1000,1.699845,1.883421,-0.038267,1.932504,0.926483,0.870718
2000,1.139833,1.336996,0.072764,2.509558,1.060928,1.040061
3000,1.203467,1.417304,0.094873,2.504363,1.078194,1.052170
4000,1.084154,1.435679,0.052444,2.308097,0.988363,1.011059
5000,0.947089,1.434079,0.102862,2.564038,1.063809,1.058799
6000,0.985525,1.249498,0.153718,2.395003,1.016297,1.009444
7000,1.113378,1.430414,0.155539,2.679726,1.084471,1.060373
8000,1.206268,1.508729,0.212976,2.451196,1.086875,1.053260
9000,1.243129,1.288165,0.263004,1.994392,1.001408,0.979672
10000,1.008927,1.209730,0.291427,2.110246,1.006341,1.023348
11000,1.023550,1.331511,0.326034,2.194483,1.098852,1.069470
12000,1.184182,1.431338,0.348631,2.139796,1.061348,1.060951
13000,0.812733,1.239125,0.390256,2.033550,1.041523,1.047008
14000,0.738110,1.165445,0.411646,1.939804,1.050810,1.048488
15000,1.175556,1.550014,0.437795,2.035843,1.131738,1.108433
16000,1.215248,1.475136,0.477225,1.876344,1.091641,1.064411
17000,1.030875,1.371960,0.474192,1.703058,1.019186,1.036675
18000,1.161051,1.390942,0.506927,1.773906,1.098429,1.064856
19000,1.020803,1.345596,0.523427,1.780807,1.099533,1.078182
20000,1.178381,1.542455,0.519941,1.737836,1.077385,1.062559
21000,1.104991,1.446785,0.516710,1.842845,1.139821,1.108267
22000,0.857638,1.279921,0.563266,1.504929,1.032303,1.033617
23000,0.856028,1.256014,0.564607,1.558295,1.082303,1.051461
24000,0.955314,1.395629,0.592135,1.588876,1.099403,1.084903
25000,1.058370,1.608539,0.600688,1.687926,1.158286,1.139047
26000,0.892156,1.274025,0.618802,1.381480,1.042589,1.033040
27000,1.408045,1.424411,0.615976,1.366791,1.063839,1.058560
28000,1.368004,1.640074,0.614791,1.469383,1.085223,1.095819
29000,1.153808,1.484426,0.651686,1.401211,1.110523,1.108401
30000,1.105736,1.359927,0.641016,1.364838,1.102875,1.124337
31000,1.366876,1.535875,0.643956,1.405733,1.117870,1.118323
32000,0.943536,1.211799,0.657318,1.320053,1.081985,1.051299
33000,0.967188,1.463852,0.650487,1.447476,1.100089,1.100595
34000,1.167990,1.542123,0.643450,1.306129,1.104361,1.143401
35000,0.916581,1.216731,0.686537,1.195204,1.036511,1.023091
36000,0.883202,1.294916,0.667149,1.358137,1.092840,1.103800
37000,0.967970,1.284726,0.685881,1.337670,1.137134,1.112696
38000,1.086917,1.409409,0.697308,1.249340,1.117460,1.113842
39000,1.237504,1.340581,0.715435,1.043703,1.037745,1.047413
40000,0.876567,1.261950,0.703242,1.196182,1.045573,1.030392
41000,0.817983,1.214849,0.705815,1.047746,1.007636,1.031698
42000,1.061419,1.458499,0.722405,1.220105,1.080714,1.074839
43000,1.153135,1.384831,0.713310,1.162997,1.104519,1.116640
44000,0.925902,1.256042,0.706618,1.156663,1.070529,1.082885
45000,1.321089,1.472725,0.725199,1.153086,1.067686,1.071021
46000,1.269736,1.443751,0.732646,1.029177,1.071621,1.110055
47000,0.953342,1.301242,0.741018,1.023890,1.063247,1.069901
48000,0.933839,1.293869,0.741752,1.062066,1.029179,1.054315
49000,0.728417,1.129636,0.757453,0.995939,1.052345,1.063659
50000,0.783653,1.240572,0.749093,1.194087,1.121854,1.089056
51000,0.706802,1.236466,0.758480,0.928491,0.990757,1.027320
52000,1.713460,1.373705,0.743875,1.053311,1.053376,1.085995
53000,0.960969,1.356047,0.753424,1.000071,1.052550,1.065581
54000,1.221331,1.442019,0.759921,1.089656,1.120330,1.116409
55000,0.969841,1.332715,0.768543,0.990774,1.067488,1.055284
56000,0.841219,1.064800,0.775509,0.942352,1.022124,1.051941
57000,1.046955,1.329683,0.763516,1.159414,1.128854,1.115185
58000,1.070121,1.323748,0.775588,1.050891,1.059362,1.080865
59000,0.950153,1.244937,0.768461,1.040841,1.027172,1.064550
60000,1.380728,1.541551,0.785165,1.055220,1.136174,1.135010
61000,1.286990,1.404751,0.771472,0.932363,1.003458,1.048545
62000,1.125725,1.207686,0.775515,1.076413,1.082982,1.074176
63000,1.596026,1.415464,0.758790,1.139978,1.098695,1.100984
64000,1.411380,1.420746,0.773044,1.095070,1.096531,1.084640
65000,1.040048,1.400997,0.753323,0.979737,1.027117,1.117688
66000,0.783252,1.335660,0.765785,0.976444,1.072885,1.109627
67000,0.803268,1.455683,0.766497,1.185374,1.127358,1.114085
68000,0.697532,1.377251,0.761247,1.077200,1.094479,1.135641
69000,1.178665,1.486364,0.765392,0.962245,1.055749,1.109355
70000,0.949443,1.550227,0.773783,1.043402,1.073165,1.083974
71000,0.655978,1.262929,0.769776,0.952269,1.024343,1.084630
72000,1.194247,1.428897,0.781787,0.921799,1.036794,1.056111
73000,0.764498,1.243685,0.786383,0.875022,1.018323,1.067794
74000,0.689323,1.352023,0.772869,0.969310,1.054663,1.122440
75000,1.074626,1.430445,0.784673,0.969030,1.060281,1.084763
76000,1.331952,1.516622,0.799946,0.876809,1.015402,1.063492
77000,1.090144,1.404607,0.789564,1.000329,1.088379,1.086828
78000,1.056890,1.359063,0.791726,1.007723,1.116763,1.115333
79000,1.044327,1.497053,0.773214,0.936085,0.993582,1.056666
80000,0.878906,1.448967,0.797194,1.049273,1.133635,1.132183
81000,0.864247,1.465955,0.784446,0.996690,1.090875,1.137419
82000,1.673809,1.567675,0.787782,0.952695,1.075834,1.117885
83000,1.274834,1.516599,0.804110,0.842852,0.976593,1.048276
84000,1.174095,1.408728,0.817956,0.782403,1.006996,1.048269
85000,1.335986,1.453143,0.810052,0.909843,1.040229,1.055476
86000,0.937537,1.380732,0.818284,0.852471,1.052618,1.078140
87000,1.150778,1.484140,0.803798,0.886735,1.062473,1.089865
88000,0.837919,1.457055,0.808673,0.870569,1.055704,1.091939
89000,1.310475,1.379820,0.811512,0.852686,1.050975,1.080422
90000,0.678681,1.244339,0.832199,0.718899,1.003761,1.029882
91000,1.309333,1.548391,0.821082,0.780117,1.021697,1.059566
92000,0.889340,1.314687,0.838679,0.778500,1.031856,1.053025
93000,1.138348,1.441059,0.822571,0.823953,1.034237,1.086505
94000,0.852932,1.388189,0.808319,0.954103,1.119673,1.124915
95000,0.961945,1.295316,0.819184,0.839629,1.050836,1.059669
96000,0.966516,1.331731,0.832284,0.787427,1.008198,1.054728
97000,1.046192,1.323394,0.833047,0.866936,1.070158,1.088274
98000,0.775269,1.146756,0.826996,0.874945,1.048790,1.078709
99000,0.959063,1.353284,0.842762,0.883660,1.074938,1.100217
100000,1.031384,1.279639,0.825600,0.817412,1.059213,1.104059
101000,1.159728,1.368737,0.838003,0.782917,1.050355,1.071755
102000,1.193400,1.469430,0.828750,0.833332,1.009730,1.070855
103000,0.750208,1.431740,0.833952,0.671457,1.001888,1.061946
104000,1.503185,1.568028,0.843341,0.720003,1.004924,1.050059
105000,1.217727,1.495928,0.837840,0.775382,1.020487,1.053192
106000,0.408427,1.091908,0.843294,0.699446,0.963396,1.022840
107000,1.209067,1.353066,0.846826,0.718731,0.988558,1.024878
108000,1.076024,1.625771,0.841029,0.827288,1.044637,1.068752
109000,0.776942,1.396733,0.830365,0.757185,1.042018,1.120089
110000,0.794433,1.352638,0.855998,0.659800,0.988743,1.027759
111000,1.159203,1.291455,0.836528,0.835299,1.039769,1.071745
112000,1.235389,1.394477,0.857117,0.722209,1.077052,1.078275
113000,1.104621,1.354346,0.847140,0.759047,1.013071,1.056347
114000,0.759887,1.238510,0.857243,0.622185,0.952260,0.998467
115000,0.884232,1.408482,0.848219,0.761558,1.067867,1.092435
116000,0.833983,1.221378,0.861794,0.535108,0.945973,1.011034
117000,1.402640,1.721539,0.842384,0.888075,1.169027,1.190756
118000,1.139756,1.415564,0.845903,0.729814,1.031442,1.082297
119000,0.775348,1.268547,0.858028,0.673014,1.003019,1.052579
120000,1.493869,1.359186,0.855284,0.811496,1.082321,1.058881
121000,1.387841,1.550566,0.843390,0.848738,1.092046,1.100964
122000,1.091825,1.194012,0.870871,0.698105,1.085699,1.066352
123000,0.958683,1.375636,0.850657,0.765978,1.057691,1.099574
124000,1.079973,1.424621,0.846999,0.744165,1.051538,1.104812
125000,1.488599,1.319476,0.856554,0.749667,1.063697,1.073730
126000,1.000785,1.322834,0.865269,0.664483,1.006384,1.046526
127000,1.905373,1.691912,0.831992,0.814747,1.090515,1.158541
128000,0.831307,1.392856,0.868872,0.742463,1.084351,1.098524
129000,1.173768,1.379700,0.846503,0.778368,1.039329,1.080209
130000,0.880258,1.409467,0.857383,0.762545,1.083705,1.102573
131000,1.203382,1.401936,0.863928,0.764267,1.082137,1.084869
132000,0.874383,1.404095,0.851248,0.852053,1.115852,1.116790
133000,1.038300,1.372595,0.859975,0.709396,1.057166,1.078666
134000,0.884780,1.223745,0.862086,0.676060,1.009314,1.055338
135000,1.013608,1.196544,0.860324,0.683459,1.028255,1.053512
136000,0.917900,1.409875,0.851666,0.855402,1.116699,1.092853
137000,1.279459,1.394529,0.845203,0.766554,0.999464,1.066750
138000,1.191604,1.446691,0.852121,0.755319,1.064295,1.077829
139000,1.473851,1.610280,0.847375,0.778203,1.064272,1.118277
140000,0.920310,1.168919,0.853865,0.796729,1.066082,1.081172
141000,1.146349,1.446841,0.852398,0.784850,1.134641,1.158902
142000,0.873873,1.404097,0.856611,0.679797,1.000505,1.079488
143000,1.262564,1.352264,0.854094,0.789851,1.112779,1.124836
144000,0.962226,1.228161,0.866038,0.779306,1.081313,1.062897
