step,loss_s,loss_l,cos_sim
1,0.247464,0.243696,-0.380403
1000,0.216236,0.238899,0.324699
2000,0.205118,0.238246,0.582297
3000,0.220134,0.239232,0.611847
4000,0.208901,0.238730,0.617573
5000,0.206369,0.239058,0.618858
6000,0.206914,0.238991,0.620316
7000,0.208910,0.239373,0.617349
8000,0.216578,0.238675,0.638094
9000,0.223798,0.239098,0.611927
10000,0.202767,0.238901,0.629313
11000,0.223073,0.240689,0.620846
12000,0.197913,0.239264,0.617941
13000,0.219955,0.239288,0.617207
14000,0.216476,0.238816,0.619535
15000,0.191652,0.238889,0.631853
16000,0.206465,0.239731,0.622167
17000,0.184238,0.239070,0.618695
18000,0.207986,0.238919,0.608497
19000,0.171520,0.238766,0.628374
20000,0.175292,0.238034,0.633982
21000,0.197771,0.238363,0.608269
22000,0.193248,0.239132,0.621112
23000,0.165017,0.239452,0.622561
24000,0.152572,0.239624,0.593616
25000,0.135920,0.239266,0.613354
26000,0.131719,0.237586,0.600522
27000,0.153933,0.238967,0.612040
28000,0.177700,0.239237,0.615159
29000,0.130202,0.238765,0.601247
30000,0.130071,0.238359,0.601094
31000,0.127381,0.238965,0.625172
32000,0.139584,0.236692,0.591584
33000,0.123249,0.241352,0.610390
34000,0.154730,0.240171,0.608554
35000,0.076855,0.239105,0.619926
36000,0.177307,0.239402,0.632661
37000,0.078337,0.237577,0.596126
38000,0.139013,0.238641,0.551250
39000,0.104268,0.237433,0.602563
40000,0.147385,0.237703,0.591302
41000,0.158962,0.237978,0.596916
42000,0.140961,0.238720,0.607654
43000,0.087535,0.238386,0.590864
44000,0.131756,0.237096,0.591274
45000,0.173609,0.237947,0.593273
46000,0.088497,0.236900,0.595359
47000,0.099728,0.239422,0.565450
48000,0.037282,0.239522,0.566632
49000,0.102869,0.238702,0.542426
50000,0.107329,0.238196,0.554200
0.5544434189796448
