step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.243427,0.245446,0.060632,0.072733,0.205145,0.187492
1000,0.223669,0.239269,0.069885,0.231277,0.408640,0.224703
2000,0.206518,0.239420,0.147576,0.249395,0.437549,0.229637
3000,0.202288,0.238586,0.146080,0.264678,0.445393,0.231185
4000,0.220866,0.239305,0.151966,0.264587,0.447762,0.229645
5000,0.206817,0.239187,0.121171,0.271101,0.447699,0.230820
6000,0.207029,0.238860,0.107835,0.279272,0.451409,0.233113
7000,0.213023,0.239549,0.117221,0.304292,0.479503,0.233749
8000,0.208501,0.239033,0.084709,0.303013,0.465691,0.235740
9000,0.214590,0.238665,0.078406,0.303927,0.464724,0.231484
10000,0.225431,0.239013,0.071121,0.342465,0.496317,0.236352
11000,0.204231,0.238809,0.072377,0.305624,0.467276,0.233231
12000,0.215302,0.239957,0.054325,0.342234,0.491342,0.237226
13000,0.224733,0.239061,0.071668,0.335979,0.491431,0.234117
14000,0.209892,0.239295,0.035738,0.321976,0.476679,0.233705
15000,0.200625,0.238848,0.007082,0.365168,0.498512,0.234413
16000,0.235578,0.240015,0.031235,0.394684,0.523510,0.235839
17000,0.176267,0.238944,0.024957,0.357866,0.496172,0.234510
18000,0.191603,0.239892,0.025168,0.382363,0.511328,0.237481
19000,0.214795,0.239992,-0.003874,0.403498,0.516731,0.234638
20000,0.211872,0.239472,0.006189,0.576125,0.579345,0.236114
21000,0.182154,0.239226,-0.032721,0.457243,0.529851,0.236979
22000,0.152710,0.238636,-0.033260,0.449582,0.524822,0.235448
23000,0.162817,0.239693,-0.038997,0.572607,0.572364,0.235413
24000,0.152089,0.239233,-0.018371,0.494105,0.554879,0.234865
25000,0.127946,0.239012,-0.003364,0.464377,0.530476,0.236701
26000,0.185393,0.239725,-0.025355,0.586230,0.583368,0.235702
27000,0.179492,0.238329,-0.002004,0.434056,0.522788,0.235771
28000,0.168551,0.239508,-0.078778,0.676706,0.620131,0.238665
29000,0.123963,0.238400,-0.063834,0.575040,0.573530,0.239043
30000,0.157469,0.238103,-0.065558,0.525104,0.543301,0.235044
31000,0.158224,0.238552,-0.049593,0.577536,0.571714,0.235506
32000,0.141280,0.238886,-0.020656,0.625155,0.613462,0.238012
33000,0.105328,0.239549,-0.046670,0.529345,0.555298,0.237076
34000,0.195723,0.240283,-0.040825,0.762210,0.635999,0.239303
35000,0.200822,0.239805,-0.033801,0.670057,0.613791,0.236069
36000,0.148954,0.238529,-0.026192,0.604792,0.585221,0.239527
37000,0.155029,0.238840,-0.059702,0.755958,0.625450,0.236645
38000,0.168897,0.239554,-0.028723,0.626041,0.588975,0.243343
39000,0.148174,0.239544,-0.030634,0.619007,0.569785,0.235610
40000,0.088898,0.238926,-0.001030,0.648914,0.611164,0.244190
41000,0.148501,0.238992,-0.044179,0.678355,0.613918,0.239182
42000,0.113455,0.237698,-0.020121,0.610708,0.591794,0.241138
43000,0.097730,0.239349,-0.032998,0.655000,0.600582,0.239719
44000,0.169935,0.239934,-0.011780,0.694263,0.617525,0.239693
45000,0.149343,0.239392,-0.019337,0.697716,0.638540,0.242784
46000,0.109438,0.239204,-0.020000,0.577536,0.562634,0.240414
47000,0.139034,0.239218,-0.045056,0.770911,0.643297,0.250389
48000,0.153300,0.238515,-0.025991,0.646951,0.616043,0.241182
49000,0.028852,0.238695,-0.020972,0.690987,0.629490,0.237481
50000,0.114076,0.238600,-0.019261,0.670530,0.595264,0.239489
-0.007840762846171856
