step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.243883,0.246245,-0.047632,0.063130,0.191557,0.153500
1000,0.219317,0.239553,0.787350,0.092438,0.401324,0.245180
2000,0.222494,0.239190,0.794062,0.120627,0.434746,0.248208
3000,0.216207,0.238006,0.768322,0.141584,0.474558,0.253906
4000,0.216628,0.239975,0.768817,0.123092,0.439669,0.244388
5000,0.211936,0.239872,0.761255,0.148367,0.480191,0.252162
6000,0.212095,0.239799,0.738943,0.188618,0.514802,0.251188
7000,0.214927,0.239516,0.764862,0.133973,0.455231,0.246445
8000,0.216940,0.239115,0.761324,0.153677,0.478841,0.251356
9000,0.207440,0.239392,0.782545,0.129038,0.451184,0.250288
10000,0.193741,0.239239,0.764980,0.130803,0.456954,0.248679
11000,0.212318,0.239210,0.769941,0.137327,0.466663,0.249936
12000,0.217928,0.239616,0.745673,0.178456,0.502125,0.251096
13000,0.217279,0.238976,0.757872,0.162499,0.488866,0.253188
14000,0.215165,0.238209,0.742913,0.187147,0.511840,0.254120
15000,0.215713,0.238938,0.762979,0.161405,0.485917,0.251902
16000,0.202942,0.237996,0.744330,0.176277,0.496889,0.252057
17000,0.196344,0.239283,0.746021,0.193060,0.501211,0.250549
18000,0.184328,0.238311,0.760785,0.194822,0.496853,0.254365
19000,0.208783,0.239280,0.724415,0.279811,0.543817,0.251300
20000,0.200186,0.239611,0.728615,0.291329,0.554545,0.254817
21000,0.170946,0.240002,0.740694,0.204319,0.506281,0.253938
22000,0.193656,0.239343,0.730691,0.319823,0.579930,0.260102
23000,0.183446,0.239071,0.734697,0.263595,0.532440,0.257304
24000,0.156890,0.238267,0.723633,0.296564,0.544039,0.252830
25000,0.136282,0.238924,0.741948,0.304571,0.542683,0.256102
26000,0.176070,0.240398,0.732205,0.265945,0.533302,0.253257
27000,0.134579,0.239444,0.736198,0.299402,0.553724,0.259487
28000,0.166260,0.239107,0.746751,0.275315,0.541838,0.265514
29000,0.171285,0.240270,0.716594,0.395944,0.607180,0.261391
30000,0.134053,0.239840,0.718475,0.376704,0.591712,0.258011
31000,0.128776,0.240204,0.721620,0.436080,0.596628,0.260053
32000,0.138040,0.240191,0.717211,0.380933,0.577732,0.253979
33000,0.151456,0.240912,0.707347,0.387556,0.586001,0.256214
34000,0.109486,0.238028,0.726934,0.370902,0.559396,0.255798
35000,0.162769,0.238062,0.719155,0.379577,0.576232,0.256255
36000,0.142126,0.239889,0.687187,0.494297,0.634492,0.257051
37000,0.167723,0.239928,0.698531,0.449980,0.643331,0.259684
38000,0.151661,0.238723,0.708827,0.363797,0.587934,0.256763
39000,0.158877,0.238174,0.708649,0.453027,0.610296,0.257027
40000,0.003660,0.237943,0.698613,0.370811,0.584002,0.254895
41000,0.124730,0.238968,0.710937,0.363605,0.577529,0.255734
42000,0.146128,0.240104,0.708725,0.455781,0.617430,0.259916
43000,0.132376,0.240039,0.719712,0.356408,0.566266,0.258663
