
=== OneRoom  lagrange_mult=0.001  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4552          6    
  5000-10000    0.4493          5    
 10000-15000    0.4392          5    
 15000-20000    0.4353          5    
 20000-25000    0.4284          5    
 25000-30000    0.4366          5    
 30000-35000    0.4302          5    
 35000-40000    0.4213          5    
 40000-45000    0.4049          5    
 45000-50000    0.3818          5    
 50000-55000    0.3828          5    
 55000-60000    0.4111          5    
 60000-65000    0.3973          5    
 65000-70000    0.4021          5    
 70000-75000    0.3773          5    
 75000-80000    0.3923          5    
 80000-85000    0.4239          5    
 85000-90000    0.3688          5    
 90000-95000    0.3905          5    
 95000-100000   0.3033          5    
100000-105000   0.4062          5    
105000-110000   0.4125          5    
110000-115000   0.3529          5    
115000-120000   0.3122          5    
120000-125000   0.3647          5    
125000-130000   0.3121          5    
130000-135000   0.3416          5    
135000-140000   0.3608          5    
140000-145000   0.3314          5    
145000-150000   0.3619          5    
150000-155000   0.3112          5    
155000-160000   0.3523          5    
160000-165000   0.3749          5    
165000-170000   0.3748          5    
170000-175000   0.3937          5    
175000-180000   0.2692          5    
180000-185000   0.2541          5    
185000-190000   0.3894          5    
190000-195000   0.3345          5    
195000-200000   0.3320          5    
200000-205000   0.3081          5    
205000-210000   0.2411          5    
210000-215000   0.3670          5    
215000-220000   0.3793          5    
220000-225000   0.3931          5    
225000-230000   0.3248          5    
230000-235000   0.3650          5    
235000-240000   0.2886          5    
240000-245000   0.3543          5    
245000-250000   0.3308          5    
250000-255000   0.3532          5    
255000-260000   0.3609          5    
260000-265000   0.3123          5    
265000-270000   0.2925          5    
270000-275000   0.3185          5    
275000-280000   0.3321          5    
280000-285000   0.3695          5    
285000-290000   0.3929          5    
290000-295000   0.3443          5    
295000-300000   0.2565          5    

=== OneRoom  lagrange_mult=0.003  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4606          6    
  5000-10000    0.4553          5    
 10000-15000    0.4471          5    
 15000-20000    0.4407          5    
 20000-25000    0.4412          5    
 25000-30000    0.4293          5    
 30000-35000    0.4251          5    
 35000-40000    0.4241          5    
 40000-45000    0.4240          5    
 45000-50000    0.4262          5    
 50000-55000    0.4190          5    
 55000-60000    0.4148          5    
 60000-65000    0.3941          5    
 65000-70000    0.4043          5    
 70000-75000    0.3820          5    
 75000-80000    0.3664          5    
 80000-85000    0.3812          5    
 85000-90000    0.4106          5    
 90000-95000    0.3979          5    
 95000-100000   0.3874          5    
100000-105000   0.4038          5    
105000-110000   0.3893          5    
110000-115000   0.3550          5    
115000-120000   0.3561          5    
120000-125000   0.3755          5    
125000-130000   0.3686          5    
130000-135000   0.3051          5    
135000-140000   0.3348          5    
140000-145000   0.3996          5    
145000-150000   0.3384          5    
150000-155000   0.3788          5    
155000-160000   0.2770          5    
160000-165000   0.4420          5    
165000-170000   0.3748          5    
170000-175000   0.3649          5    
175000-180000   0.3841          5    
180000-185000   0.3953          5    
185000-190000   0.3470          5    
190000-195000   0.3743          5    
195000-200000   0.3370          5    
200000-205000   0.3012          5    
205000-210000   0.3607          5    
210000-215000   0.3717          5    
215000-220000   0.2573          5    
220000-225000   0.3952          5    
225000-230000   0.3802          5    
230000-235000   0.3458          5    
235000-240000   0.4674          5    
240000-245000   0.3393          5    
245000-250000   0.3006          5    
